"","company","time","title","job_title","job_location","recommends_rating","outlook_rating","ceo_rating","experience","pros","cons","advice_to_management"
"727","Polaris Industries","2018-03-27","""#1 Best Place to Work""","Current Employee - Anonymous Employee","Plymouth, MN","Recommends","Positive Outlook","Approves of CEO","I have been working at Polaris Industries full-time (More than a year)","Great flexibility, positive empowering culture, passionate coworkers who share similar interests, ability to experience the product, good benefits, developments employees by encouraging promoting from within. Innovations is important and new/different ideas are encouraged. A large company with a family/friendly feel.","Opportunities for continuous improvements on additional benefits. The basic benefits are competitive but would like to see them be more creative.",""
"728","Polaris Industries","2018-03-27","""Not perfect, but really rewarding and fun place to work""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I have been working at Polaris Industries full-time","- Unabashedly ambitious- Strong total comp & benefits package- Great people to work with- Products are fun and employees are encouraged to ride- Growing company - This can sometimes seem hectic, but I'd much rather have a growing and changing company than stagnation","- Upward movement can be limited due to a flatter structure. Not the best place to work if you're driven by title- Lack of process can sometimes limit productivity","Keep focus on improving productivity"
"729","Polaris Industries","2018-03-23","""Great Culture - know their product""","Former Employee - Anonymous Employee","","Recommends","Neutral Outlook","Approves of CEO","I worked at Polaris Industries full-time","Great culture, they want to you know products.","In some areas leadership is not committed to championing programs and the overall success. Some will take a wait and see approach.",""
"730","Polaris Industries","2018-03-22","""Marketing Associate""","Current Employee - Marketing Associate","Plymouth, MN","Positive Outlook","Disapproves of CEO","NA","I have been working at Polaris Industries full-time (More than 3 years)","Great product perks. Health benefits are decent, but not as good as at other large companies. Work environment is casual, which can actually be a detriment to productivity and professionalism.","Completely unprofessional environment. Upper management extramarital affair is condoned and funded by those in the know. Completely immoral and compromises the trust and level of respect of leadership. Executive management plays favorites, while the rest of us are pawns in their unethical game. VPs engaged in affair should be fired, not allowed to continue working, traveling together and conspiring against those of us who could expose them. Serious disregard for morals and values. Very corrupt environment in ORV.","Focus on the inappropriate behavior of your leaders and have real consequences for those who violate the code of ethics."
"731","Kroll Ontrack","2018-03-08","""Lots of problems""","Current Employee - DST Employee","Eden Prairie, MN","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I have been working at Kroll Ontrack full-time (More than 3 years)","With the exception of senior management, many talented people at all levels. Work life balance is fair. Some benefits are reasonable.","DARK future for this company as management has absolutely no idea on why employees are unsatisfied with the path this company is headed. They are in the midst of cutting every budget possible to bring up the financials to sell quickly.","Find out what makes your employees happy. Happy employees are hard working employees. Right now there is a huge amount of discontent amongst your employees because of not receiving merit increases for over 3 years. Also “leadership” has absolutely no positive communication to share- ever. Positions that leave are either filled with unqualified people, or not backfilled at all and that creates a huge workload and more stress for the rest of us. More people are leaving daily. Morale couldn’t be lower due to the sad state of where we hear the company is headed."
"732","Kroll Ontrack","2018-02-28","""Case manager""","Former Employee - Case Manager","London, England (UK)","Recommends","Negative Outlook","No opinion of CEO","I worked at Kroll Ontrack full-time (More than 3 years)","Good team environment and team spirit","Long hours no training","Share more information"
"733","Kroll Ontrack","2018-01-14","""Senior Case Manager""","Former Employee - Senior Case Manager","","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Kroll Ontrack full-time (More than 5 years)","Colleagues were very focused on providing clients with best possible outcome. The work was challenging but interesting and gratifying. Pricing was honest and accurate.","Company was purchased and is no longer the client oriented organization that it was. Essentially Kroll Ontrack no longer exists. After decades of providing competent services with honest pricing they are now being dismantled step by step.",""
"734","Kroll Ontrack","2018-01-11","""Project Manager""","Former Employee - Project Manager","","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Kroll Ontrack full-time (More than 5 years)","Relationships with teammates throughout the company.","Cagey, dishonest management styles. Lack of management qualification and experience with management promotions (Nepotism/Cronyism). Unclear on promotions or opportunities available.","Stop commanding people to come to you and GO to where the employees are, not just the ""vacation"" spots. Need more of a presence to understand the intricacies of each location, domestically and internationally, in order to offer any support/advice."
"735","Kroll Ontrack","2017-11-05","""Stay Away""","Former Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Kroll Ontrack full-time","Free drinks is about it.","Layoffs happen on the regular.","Learn how to run a business. Good luck with your drowning management strategies."
"736","Kroll Ontrack","2017-11-01","""Good company""","Current Employee - Software Engineer","Katowice (Poland)","Recommends","Positive Outlook","No opinion of CEO","I have been working at Kroll Ontrack full-time (Less than a year)","Following latest software technologies and best practices","There are no cons for this company",""
"737","Kroll Ontrack","2017-10-22","""A really good workplace""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I worked at Kroll Ontrack full-time (More than 3 years)","Flexibility to work from home, opportunity to grow in your role","Very flat organisation so limited chance to be promoted.","Recognise the needs from your staff to want to continue developing professionally so you don't lose them."
"738","Kroll Ontrack","2017-10-20","""Good company, long hours""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Kroll Ontrack full-time","Individual contributor treated respectfully by management, understood management's expectations, encouraged to have work-life balance, management tried to incorporate fun at work.","Increasingly long hours--around 70 hours a week on salary, i.e., no overtime pay, managing multiple projects deadlines, not enough staff to do our work for an international company. Both of us left the company.","Listen to your employees when they're asking for more staff in their workload."
"739","Kroll Ontrack","2017-10-12","""Amazing engineers, dramatic change""","Former Employee - Anonymous Employee","Eden Prairie, MN","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Kroll Ontrack full-time","Brilliant technical minds that can solve complex problems, deep intellectual property and many years of experience frequently lead to successful recoveries.","Management lacks the vision to capitalize on their greatest assets: people and internal technology. There has been major resistance to change, now there’s too much change at once to navigate a successful transformation.","Culture and trust are developed over time. not handed down from management."
"740","Kroll Ontrack","2017-10-11","""good""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I worked at Kroll Ontrack full-time (More than a year)","Good environment to work for and company pays regular quarterly company performance bonus.","company policy change so often",""
"741","Epicor Software","2018-04-15","""Advice to Management""","Current Employee - Territory Manager","New York, NY","Recommends","Positive Outlook","No opinion of CEO","I have been working at Epicor Software full-time (More than a year)","Great People... Epicor has some of the best and brightest in the industry.","Middle Management manages by yanking the stearing wheel from one gaurd rail to the other.","Develop the people you have to their best abilities."
"742","Epicor Software","2018-04-14","""sr imlpementation specialist""","Former Employee - Anonymous Employee","","Recommends","NA","NA","I worked at Epicor Software full-time","flexible self directed scheduling, little micro management","sometimes a lack of direction",""
"743","Epicor Software","2018-04-12","""NA""","Current Employee - Senior QA Engineer","Monterrey, Nuevo León (Mexico)","Recommends","Positive Outlook","No opinion of CEO","I have been working at Epicor Software full-time (More than 10 years)","- Balance Between Job and Life- Good Benefits which include family members- Activities in the Organization with employees are good.- Great coworkers -friends, managers, directors.- The work is challenging but you can always count with someone to get help to complete your activities in case you are stuck.","- There is no Carrier Path.- Difficulty to access certain positions.- At times there are employee rotations- Benefits are four starts but to give the 5th star the Saving Box benefit should be included.- Increase of salary by year is low.","With the managers I have worked with are great people who listed to the employees and help us out to complete the activities. Still I would recommend to set goals based on the employee and the company. Sometimes the goals are generals."
"744","Epicor Software","2018-04-10","""Software QA Developer""","Current Employee - Software QA Developer","Monterrey, Nuevo León (Mexico)","Recommends","Positive Outlook","Approves of CEO","I have been working at Epicor Software full-time (Less than a year)","I have been very happy working here the environment is really good, very sane, all the coworkers try always to help us to learn things, etc. Benefits are really good maybe fondo de ahorro could be appreciated and I am happy to see that Epicor encourage us to keep balance personal life and work which is really good !! Culture values are great!!! I love work here!!!!","I've only been working for a few months at Epicor. So far there are no cons to report. Also I do not know about career opportunities yet.","na........................................................................................"
"745","Epicor Software","2018-04-10","""Great company to growth with!""","Current Employee - Anonymous Employee","","Recommends","NA","NA","I have been working at Epicor Software full-time","It has a great balance between personal life and work, they care about their employee and an incredible feeling of team spirit.","I have only been for a few months, I have no cons.","Be open for new responsibilities as well as change, this company will ask for the best of you and you have to be prepared for that."
"746","Epicor Software","2018-04-05","""A great place to work""","Former Employee - Software Engineer","Monterrey, Nuevo León (Mexico)","Recommends","Neutral Outlook","No opinion of CEO","I worked at Epicor Software full-time (More than 3 years)","Always have right tools for development (widescreen monitors, Microsoft licenses, etc)For interns, is a good place to start a career.For full-time employees, is a good place to keep growing.","They have several teams depending on the product being developed, so not all teams are a good place to work.Typically, interns only do QA.If you are looking to become a Full Stack developer, working on Epicor 10 team is not the place, up to now, they only do traditional Client/Server ERP (SOA).",""
"747","Epicor Software","2018-04-03","""Former employee""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Epicor Software full-time","Lots of opportunity for growth.","Nothing bad to say .",""
"748","Epicor Software","2018-03-30","""Change is good.""","Current Employee - Anonymous Employee","","Recommends","Neutral Outlook","NA","I have been working at Epicor Software full-time (More than a year)","Good changes made at the executive level. New blood is good.","Have to decide whether they are serious about growth.","Don’t forget we are bigger than just Austin."
"749","Epicor Software","2018-03-26","""Great growth opportunities""","Current Employee - Marketing","","Recommends","Positive Outlook","Approves of CEO","I have been working at Epicor Software full-time (More than 3 years)","Great growth opportunity. I have had the opportunity to move into different roles to round out my experience. I've also had the opportunity to get a roles that are larger in scope which allowed me to advance my career upward. Management is flexible, supportive of career growth. Pay is in line with market rates.","Would like to get more marketing specific training.","More communication on company performance from the top down. Not all teams know if we are doing well/not doing well."
"750","Epicor Software","2018-03-22","""Great Place To Work!""","Current Employee - Senior Business Development Representative","Minneapolis, MN","Recommends","Positive Outlook","Approves of CEO","I have been working at Epicor Software full-time (More than a year)","Snacks every ThursdayVery supportive management team - they have done a lot to turn the BDR org around.Lots of opportunity to grow in the company of you work hard and get results","There is some old school mentality with some of the sales org.","Keep it up, your doing great!"
"751","Sleep Number Corporation","2018-04-15","""Pay is horrible for a true sales pro.""","Current Employee - Sales Representative","Austin, TX","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I have been working at Sleep Number Corporation full-time (More than a year)","For retail sales the hours are great. There is always a team at the store and one can work shifts instead of a full 11 hour day.The product is very nice and sells itself. Easy job, you rarely have inventory counts, you never order product, and you basically sit around waiting for guests.Advancement opportunities are few and far between since the company is fairly small in comparison to other mattress retailers.","The product is a bit pricier than other entry level mattresses in the market (for some it may be too much for even the starter sleep number model).Pay structure is TERRIBLE for a commission sales person. Expect 35-55k. Even if you are a TP performing salesperson, the commission payout is on a sliding scale based off of store percent to budget. Basically they move the goal post mid game. VERY HARD TO EARN A GOOD PAY. If you sell an 8k bed, expect 200 bucks.... terrribleee!. It is a 2.5% commission IF your store hits budget. If not, expect less than 2.5%","Fix your pay structure, or you will lose a ton a good sales people. This is not a product that anybody can sell. It's not easy getting people to spend 2-8k on a matttess."
"752","Sleep Number Corporation","2018-04-13","""Sleep Number Review""","Current Employee - Sales Associate","San Francisco, CA","Neutral Outlook","NA","NA","I have been working at Sleep Number Corporation (Less than a year)","great teams, easy to understand products, women in leadership","an extensive amount of micro managing and irrelevant cold calling several times a day","allow your teams to sell. all that other ""stuff"" is highly unnecessary"
"753","Sleep Number Corporation","2018-04-11","""Great company to represent""","Current Employee - Sales Associate","Jacksonville, FL","Recommends","Positive Outlook","Approves of CEO","I have been working at Sleep Number Corporation full-time (Less than a year)","So far working at Sleep Number I have improved over 50 lives and have been able to have a healthier work life balance as some other jobs. They give you 2 days off a week and you can often work with your immediate manager if you have any specific schedule needs. I was able as a new employee to attend my grandpas funeral and am very grateful. This was all within my 90 days. I am very excited and can't wait to make Sleep Professional, and then Sleep Expert! They have great national trainers.","The interview process is pretty intense. I would recommend having another job even if you're told you probably got the job. Took me about 6 interviews over the course of several years before I was hired.The goals are pretty high but that's just like any commission job, and similar to bed sales jobs I have had in the past. They have multiple people stores currently I am in a 5 person store. Some of the managers in other stores take more of the ""ups"" and gives less of the Sales Team opportunity to make their goals. It didn't happen to me personally but I've seen people close to their goal and the managers taking more ups than some other stores so that sales person missed their goal.Overall its worth it. Not a good job for you if you cant work hard, and follow up with your customers.","Maybe bring back the raise program, I have a lot to look forward to during my growth but knowing never going to get a raise is a bit discouraging - unless I become manager. I'm not a big fan of the wow points I've heard in the past raises were implemented and I think if you hit your metrics and produce etc after a year or so you should get a raise with the hourly even if its just a little bit. ALSO more contests for employees to win Sleep Number stuff. I worked at another mattress store before this and won multiple beds and even some blankets and what not; made it more motivating to sell and kept morale up."
"754","Sleep Number Corporation","2018-04-03","""Great job, nice people, excellent products!""","Current Employee - Sleep Associate","Fremont, CA","Recommends","Positive Outlook","Approves of CEO","I have been working at Sleep Number Corporation full-time (Less than a year)","I've learned a lot about sleep and how important it is and how a lot of people sadly don't get good quality sleep. Friendly, easy going environment with co-workers that want to help you improve your knowledge on products and skills.","You are not allowed to take certain days off, NO MATTER WHAT!!!","Be patient with new employees. It's a lot to learn."
"755","Sleep Number Corporation","2018-04-03","""It's a very hard place to work""","Current Employee - Sleep Professional","Denver, CO","Neutral Outlook","No opinion of CEO","NA","I have been working at Sleep Number Corporation full-time (More than 5 years)","Great product, we help a lot of people that have sleep challenges. We have a great warranty and our insiders love our beds..","The company sets very high goals every month and expects us to achieve them. You get written up if you do not make them. They do not take in accountability that you might have a sick day or vacation durning that time. It seams every year it gets higher. Even if the store does not make goal they still write you up. Also the way they have the up system and the lead ownership it's a nightmare! You can work all day and not have an up and your co worker has 3! How is that fair. Corporate needs to reevaluate the policy. Also all the notes you have to put into Seibel to own the lead is redundant, if you miss putting one activity your co worker can take your lead!!! Not fair..There is a lot of favoritism and no accountability. Sleep Number got a tax break and have they passed it on to their employees no. They do not take care of their own. Many companies gave their employees $1,500 and we have seen nothing. Also we at the sales floor spend hours selling the bed but customer service and home delivery can screw up the order and the customer wind up canceling, and we as sales people lose the money.","Come down from your glass tower and see what goes on in the front line. More communication to the sales people. Have more team work."
"756","Sleep Number Corporation","2018-03-25","""Great first sales job""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Sleep Number Corporation full-time","Commission can be rewarding if you work hardGreat team environment","Some things are out of your control such as Home delivery or Customer Service.When things go wrong on their end it can lead to cancellations and loss of commission for on your end.","Focus more on employee growth than your own growth."
"757","Sleep Number Corporation","2018-03-21","""Join the family?""","Former Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at Sleep Number Corporation full-time","It's a pretty nice driving job, you get to go on a lot of scenic routes, and the customers are usually very nice.","You and your coworkers are meant to be a team, NOT a family. Be very careful of companies that blur - or, in the case of Sleep Number, disregard - that line.A lot of the gentlemen I worked with (and our crew was 100% male) had a lot of family problems that they dragged with them to work. Sadly, management is all too eager to exploit that kind of dysfunction, rather than promote any kind of work/life balance. To be fair, the field supervisor I was stuck with had maybe the least amount of work/life balance of anybody on the crew. But for the record, Sleep Number habitually violates the DOT 14-hour rule. We had techs go out for 14, 16, even 18 hour adventures, only to be dispatched bright and early the next day.Overall, very dysfunctional, very sad workplace and not something I would recommend to anybody.","DOT regulations are not advice. They are law. Flagrantly violating them is asking for big trouble down the road."
"758","Sleep Number Corporation","2018-03-20","""Declining sales opportunity.""","Former Employee - Sales Representative","Orlando, FL","Doesn't Recommend","Negative Outlook","No opinion of CEO","I worked at Sleep Number Corporation full-time (More than 5 years)","Truly innovative product.Reasonable hours for retail.","I worked for Sleep Number as a sales associate for 7 years. Consistently a top performer in my district and and just missed national Presidents club. Found it necessary to seek new employment as my compensation dropped 33 percent in one year. The company is opening up more locations which is fine if you adjust the current store budgets to reflect the new realities of business. The company picks and chooses which store will be allowed to make money based on their own biases by setting either unrealistically high monthly budgets or for certain stores low budgets. The top management is extremely aloof and condescending.The company takes poor performing managers and moves them to different stores instead of finding a better suited position for a manager. (sales)Used to be decent company to work for but has become inconsistent with work environment and pay become unsatisfactory.","In a time of low unemployment and plentiful job opportunities its not a good idea to lower compensation. Including the ridiculous WOW incentive system.Also budget stores based on a verifiable mathematical system as opposed to whoever they like that month.In addition, don't penalize long term employees with unrealistic budgets when opening up new stores only a few miles away. Then expecting the employee to take a massive pay cut through no fault of there own.Finally stop over engineering a product that already performs well."
"759","Sleep Number Corporation","2018-03-20","""Feels like Family""","Current Employee - Store Manager","","Recommends","Positive Outlook","Approves of CEO","I have been working at Sleep Number Corporation full-time (More than 10 years)","Mission Driven, Trustworthy, Incentivized, Health & Wellness Focused, Innovation Company where you work hard - and your pay will show it!","Retail hours are inconsistent with some shopper habits. Would love to see more technology in POS systems. Communication between customer service and store could always improve but it is much better now than ever.","Keep up the great work! Show more diversity in advertising."
"760","Sleep Number Corporation","2018-03-18","""HD Driver""","Former Employee - HD Driver/Technician","Seattle, WA","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at Sleep Number Corporation full-time (More than a year)","okay benefits, okay pay, okay product, inconsistent hours but if you cover for the (many) call-outs you can probably average about 40+ hours of work per week.","The people who work in home delivery have a lot of mental health problems, even the trainers and field supervisors in my experience. And this isn't just the opinion of an unhappy former employee. It's also the shared opinion of psychiatric clinicians and law enforcement as well.Many of the people I worked with at Sleep Number had extensive criminal histories, some with felonies, and others had recently been detained for observation at in-patient mental health facilities. By the way, are you a convicted felon or have you recently been held against your will for mental health treatment? Then please consider applying at Sleep Number, because they will hire you.And that is what you can expect working with the regular staff. Sleep Number routinely uses temp workers to help get through busy seasons. In just my six months working there, we had temps pass out on the job, have drug-induced episodes of diarrhea, and one walk off the job while raging on the phone with his parole officer.","Management and R&D are working basically round-the-clock to automate the bed-building process and reduce the amount of contact between their HD techs and their customers, because they understand that many of these people have LOTS of problems that they bring with them to work. So, my advice is probably just to stay the course."
"761","Valspar","2018-04-13","""Micromanagement and poor people management""","Former Employee - Anonymous Employee","Bubikon (Switzerland)","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at Valspar full-time (More than a year)","There are some nice colleagues to work with.","Micromanagement and active search for mistakes of others, poor morals towards employees. Unfair annual review was immediately accepted by HR and no arguments from the employee side were considered. Late night calls on the private phone number by the line manager. It all got worse since takeover by SW and good and faithful top managers were laid off.",""
"762","Valspar","2018-04-02","""Area Consulant""","Former Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at Valspar full-time","company car unlimited petrolincrease skill baseloads of perks","High expectations from management that can be unrealisticIf your face fits kinda culture","promote the ones that deserve it not the ones who you prefer"
"763","Valspar","2018-03-27","""HR Manager""","Current Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","Disapproves of CEO","I have been working at Valspar full-time","Great group of people to work with","Work/ life balance is off since company runs lean",""
"764","Valspar","2018-03-26","""Ehh""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Valspar full-time","interesting job opportunity with lots of great people","limited room for improvement in the job",""
"765","Valspar","2018-03-19","""What more can i say..""","Current Employee - Material Handler","Lebanon, PA","Recommends","Neutral Outlook","No opinion of CEO","I have been working at Valspar full-time (More than 5 years)","Love my crew..small staff but very efficient..overtime kinda annoying but who doesn't like extra money","People would tend to put themselves in positions above their pay rate...",""
"766","Valspar","2018-02-09","""Consumer relations rep.""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at Valspar full-time","Good pay, bonuses and profit sharing","Required overtime frequently on weekends",""
"767","Valspar","2018-01-29","""Not it's former self""","Former Employee - Anonymous Employee","","Recommends","Negative Outlook","Disapproves of CEO","I worked at Valspar full-time","No supervisor constantly looking over your shoulder","Not the same since acquired by SW. More micromanaged. Product quality decreased.",""
"768","Valspar","2018-01-18","""Good till SW took over""","Current Employee - Anonymous Employee","","Doesn't Recommend","Positive Outlook","Disapproves of CEO","","Pay is great, awesome people to work around for the most part. Works with employees on a lot of things","Was told by Sherwin Williams that they love our facility and capabilities until acquisition went through then find out we are closing the doors",""
"769","Valspar","2018-01-15","""Commercial Center Manager""","Former Employee - Commercial Center Manager","Stuart, FL","Recommends","Neutral Outlook","No opinion of CEO","I worked at Valspar full-time (More than 3 years)","Good working hours and aggressive pay.","New company growing and becoming established.","Continue to grow and establish a loyal customer base."
"770","Valspar","2018-01-11","""IT Business Analyst""","Former Employee - Anonymous Employee","","Recommends","No opinion of CEO","NA","I worked at Valspar full-time","Great safety standards for factory","Current Merger with Sherwin Williams","consolidate computer systems"
"771","Starkey Hearing Technologies","2018-04-13","""Trickle down lack of morality""","Former Employee - Engineer","Eden Prairie, MN","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Starkey Hearing Technologies full-time (More than 3 years)","Plenty of parking! Will be more as the people who can get will get out.","The lack of morality at the top is like a cancer throughout the company.","Good luck"
"772","Starkey Hearing Technologies","2018-04-05","""Culture is declining rapidly""","Current Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","Disapproves of CEO","I have been working at Starkey Hearing Technologies full-time (More than a year)","Good coworkers, interesting technology, great location, fantastic CTO.","Starkey is cutting costs at every corner and the culture is suffering terribly. Simple things like having beverages or lunch meetings when required are no longer supported. Everybody is overworked because positions are not backfilled properly and headcount is shrinking. President of company, owner's stepson, fails to acknowledge sexual harassment allegations against him in the past. Company reputation at an all time low.","Speak up and change key executives that do not belong in their position. Hold people accountable."
"773","Starkey Hearing Technologies","2018-03-23","""Engineer""","Former Employee - Anonymous Employee","","Doesn't Recommend","NA","NA","I worked at Starkey Hearing Technologies full-time","It is relaxed work environment","not so much raise, not so much bonus",""
"774","Starkey Hearing Technologies","2018-03-07","""Executive Security""","Former Employee - Executive Security","Eden Prairie, MN","Doesn't Recommend","Negative Outlook","Approves of CEO","I worked at Starkey Hearing Technologies full-time (More than a year)","Ability to travel with CEO and work with the Foundation end of Starkey.Experience working with different agencies of Police/Department of State/ Secret Service/ Hotel Security around the world.Center for Excellence wonderful staff who work hard. (main patient check ins).Great employees in all departments.Strong Company Message","Reason for my one star rating lack of knowledge/ experience from security management.It’s a political work environment with Security Staff. They are very secretive even if you work in the security department.Every work day consisted of no official start or end time.Longest work day was 23 hrs with no heads up.Security management would rarely take night shifts due to the fact no one knew when they would get off.Work late nights and weekends sorting hearing aids. Which is considered a con before you go on any mission trip.When traveling abroad you'll more and likely be traveling with a Starkey contractor security team. They take full control when on missions so any work you'll be doing if any will be with the foundation. Don't expect to be providing any security as the contract team don't like outsiders helping.youll provide security for the teams bags when in transport and in the rear.I would have to sit down with the same interview applicant three different times because management wanted me to. Even then that the applicant wasn't hired. It was a waste of the applicants time.Security management treated campus security as inferior. Opinions and concerns of campus security officers are met with disregard and arrogance by a grossly under qualified security manager who’s been given far too much authority for his education and experience in the field. A fair pay rate doesn't keep guys around great leadership and opportunities do.","Senior Managment- Bring in an experienced male or female to run ALL security. Re-think growing this department if you keep the same management."
"775","Starkey Hearing Technologies","2018-03-06","""No Room For Growth""","Former Employee - Customer Service","","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Starkey Hearing Technologies full-time (Less than a year)","4 weeks of PTO is nice.","Within Starkey’s departments, managers like to talk about opportunities to grow professionally and develop your career. However, it is exactly the opposite. The only way to grow is to leave for another company. Raises and and promotion are tenure based and not based off merit or performance. Lower level management has little control with what is passed down from the leadership team and the leadership team is out of touch with their lower level employees.","Listen to your employees! We are the ones in the trenches and you might learn something from us."
"776","Starkey Hearing Technologies","2018-02-20","""Account Executive""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Starkey Hearing Technologies full-time","Work with some of the sharpest minds in the hearing industry.","1980s culture persists today. Old school way of doing business.",""
"777","Starkey Hearing Technologies","2018-02-19","""Current employee at Starkey""","Current Employee - Anonymous Employee","","Recommends","Neutral Outlook","Approves of CEO","I have been working at Starkey Hearing Technologies full-time","Some really smart people work at Starkey","Complete lack of communication from top down",""
"778","Starkey Hearing Technologies","2018-02-11","""Great company""","Current Employee - Anonymous Employee","","Recommends","Neutral Outlook","No opinion of CEO","I have been working at Starkey Hearing Technologies full-time","Great company and some great people.","kind of dont know what to say",""
"779","Starkey Hearing Technologies","2018-02-10","""Lot of good with some sticky bad""","Current Employee - Anonymous Employee","Eden Prairie, MN","NA","NA","NA","I have been working at Starkey Hearing Technologies full-time (More than 3 years)","You affect peoples lives every day. PTO is excellent. Overall excellent people to work with.","You sure don't get paid well! Since the change in upper management reviews have been delayed by months and with the voluntary separation plan it's clear they are in cost savings mode.",""
"780","Starkey Hearing Technologies","2018-02-10","""Systems""","Current Employee - Anonymous Employee","","Approves of CEO","NA","NA","I have been working at Starkey Hearing Technologies full-time","-Fast pace technology and nice working environment","-Nice place to work at no complaints","None"
"781","Donaldson Company","2018-04-10","""Legacy Company trying to modernize""","Current Employee - Strategic Account Manager","Bloomington, MN","Recommends","Neutral Outlook","Approves of CEO","I have been working at Donaldson Company full-time (More than 5 years)","Lots of good people with a lot of industry expertise","Lots of not so good people, outdated PTO/Vacation policy","make employees wait 12 years to earn an extra week of paid vacation?"
"782","Donaldson Company","2018-03-26","""Great Company""","Former Employee - Anonymous Employee","Bloomington, MN","Recommends","NA","NA","I worked at Donaldson Company full-time","Solid Company with good values and great working atmosphere","There are some minor challenges as with any company",""
"783","Donaldson Company","2018-03-21","""AMT Intern""","Current Employee - Anonymous Employee","","NA","NA","NA","","Good people, good money, good experience.","Not much anything you wouldn't expect.","Not much"
"784","Donaldson Company","2018-03-20","""Good benefits, but limited career opportunities at this time""","Former Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at Donaldson Company full-time","They are flexible about letting you work from home, and benefits are good (however, if your spouse has access to health insurance from their employer, then they can't be on your Donaldson benefits)","Work/life balance wasn't great and not a lot of career opportunities to move around within the organization","Work on creating more work/life balance; hire more headcount so employees aren't swamped or extend deadlines to allow employees to manage their workloads"
"785","Donaldson Company","2018-03-17","""Ok company""","Current Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I have been working at Donaldson Company full-time","Good work atmosphere, nice colleagues","No training programs for newcomers, salary not always competitive for no management positions","Also reward engineers and not only sales"
"786","Donaldson Company","2018-03-15","""L'entreprise en premier ... les employés ??""","Former Employee - Global Account Manager","Bron, Rhone-Alpes (France)","Doesn't Recommend","Negative Outlook","No opinion of CEO","I worked at Donaldson Company full-time (Less than a year)","Rémunération correcteBon véhicule de fonctionPersonnel ""globalement"" compétent","Pas de formationEntreprise peu innovante (sous composant ayant peu d’intérêt pour les clients)Pas de considération pour les personnes (l'entreprise d'abord)Il faut aimé être un exécutant (ne pas aimé donner son avis)Titre de poste plutôt attractif mais missions très administratives","Beaucoup de choses:- Ne pas oublier que les employés sont des personnes- Être à l'écoute des idées- ..."
"787","Donaldson Company","2018-03-04","""Laid off after FMLA leave""","Former Employee - Engineering","Bloomington, MN","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at Donaldson Company full-time (More than 3 years)","Ok pay, benefits, location","I got laid off the day I returned from taking family leave for my new child. They had some excuse of course, but still broke the law. If I hadn’t been planning to leave soon I would have reported them. Definitely couldn’t recommend them if you’re thinking about taking time to connect with your children or need time to care for others. One of the complaints they had was that I wasn’t working nights on projects that should have had more people.Upper management moves every couple years which is great for them to learn, but terrible for everyone else since you’re constantly retraining someone new and changing things around to their whims. At least you know the bad ones will always leave soon enough.",""
"788","Donaldson Company","2018-02-16","""Bill Cook left, ethics and respect left, too.""","Current Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","Disapproves of CEO","","Some of the people are nice. Some are backstabbers.","The minute Bill Cook left as CEO, ethics, respect and loyalty FLEW out the door.","Pay attention to how you treat your employees. It's better to be an asset than a liability."
"789","Donaldson Company","2018-02-12","""Quality""","Current Employee - Quality Engineer","Minn City, MN","Recommends","Neutral Outlook","No opinion of CEO","I have been working at Donaldson Company full-time (Less than a year)","good company to work and develop","I dont want to share it","no comments"
"790","Donaldson Company","2018-01-20","""Sales Engineer""","Former Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Donaldson Company full-time","You can balance your work and personal life","Upper management do not give importance to the employeesNo career opportunityPoor salary","Give more importance to the employees"
